1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd
1828.0,0.0,,Av,48.0,,1774.0,,774.0,Unf,2007.0,1828.0,Gd,11694.0,90.0,452.0,108.0,5.0,9.0,1822.0,,2007.0,2007.0
894.0,0.0,2.0,No,0.0,Unf,894.0,,308.0,,1962.0,894.0,TA,6600.0,60.0,0.0,0.0,5.0,5.0,894.0,,1962.0,1962.0
964.0,0.0,2.0,No,713.0,ALQ,163.0,,432.0,Unf,1921.0,964.0,TA,13360.0,80.0,0.0,0.0,7.0,5.0,876.0,,1921.0,2006.0
1689.0,0.0,3.0,No,1218.0,GLQ,350.0,,857.0,RFn,2002.0,1689.0,Gd,13265.0,,148.0,59.0,5.0,8.0,1568.0,,2002.0,2002.0
1541.0,0.0,3.0,No,0.0,Unf,1541.0,,843.0,RFn,2001.0,1541.0,Gd,13704.0,118.0,150.0,81.0,5.0,7.0,1541.0,,2001.0,2002.0
1221.0,0.0,2.0,No,410.0,GLQ,811.0,0.0,400.0,RFn,2004.0,1221.0,Gd,7500.0,62.0,0.0,113.0,5.0,7.0,1221.0,,2004.0,2005.0
1324.0,0.0,3.0,No,643.0,Rec,445.0,,440.0,,1965.0,1324.0,TA,8658.0,84.0,101.0,138.0,5.0,6.0,1088.0,0.0,1965.0,1965.0
696.0,720.0,3.0,No,604.0,ALQ,92.0,,484.0,Unf,1999.0,1416.0,Gd,2572.0,24.0,0.0,44.0,5.0,7.0,696.0,,1999.0,1999.0
526.0,462.0,2.0,Gd,462.0,GLQ,0.0,,297.0,Unf,1973.0,988.0,TA,1596.0,21.0,0.0,101.0,5.0,4.0,462.0,,1973.0,1973.0
869.0,349.0,3.0,No,375.0,ALQ,360.0,,440.0,Unf,2003.0,1218.0,TA,6000.0,60.0,0.0,0.0,6.0,6.0,735.0,,1941.0,1950.0
760.0,896.0,3.0,No,0.0,Unf,746.0,,397.0,Fin,2003.0,1656.0,Gd,6931.0,60.0,92.0,128.0,5.0,7.0,746.0,,2003.0,2004.0
1362.0,0.0,2.0,Av,20.0,ALQ,1342.0,0.0,460.0,,2005.0,1362.0,Gd,7577.0,61.0,256.0,28.0,5.0,6.0,1362.0,,2005.0,2006.0
1051.0,788.0,4.0,No,0.0,Unf,756.0,,442.0,Unf,1966.0,1839.0,TA,7700.0,70.0,351.0,124.0,5.0,6.0,756.0,,1966.0,1966.0
1375.0,0.0,2.0,No,0.0,Unf,1367.0,,451.0,Unf,1954.0,1375.0,TA,11310.0,75.0,0.0,30.0,5.0,6.0,1367.0,,1954.0,1954.0
1122.0,,2.0,No,144.0,GLQ,172.0,,528.0,Unf,1948.0,1122.0,Gd,12000.0,100.0,0.0,36.0,7.0,5.0,924.0,,1948.0,2005.0
1432.0,0.0,2.0,Gd,680.0,ALQ,289.0,,588.0,Unf,1978.0,1432.0,Gd,16157.0,,0.0,180.0,7.0,5.0,1360.0,,1978.0,1978.0
728.0,728.0,3.0,Av,0.0,Unf,728.0,,400.0,Fin,2007.0,1456.0,Gd,9018.0,65.0,0.0,24.0,5.0,7.0,728.0,,2007.0,2007.0
1217.0,0.0,3.0,Av,611.0,GLQ,577.0,,497.0,Unf,1990.0,1217.0,Gd,9947.0,,0.0,27.0,5.0,7.0,1188.0,,1990.0,1991.0
1040.0,0.0,2.0,None,0.0,None,0.0,,625.0,Unf,1950.0,1040.0,TA,7200.0,60.0,0.0,0.0,7.0,5.0,0.0,,1950.0,1950.0
612.0,612.0,2.0,Av,294.0,GLQ,318.0,,528.0,RFn,2009.0,1224.0,Gd,3000.0,30.0,76.0,234.0,5.0,6.0,612.0,,2009.0,2009.0
1022.0,752.0,2.0,No,0.0,Unf,952.0,,468.0,Unf,1931.0,1774.0,TA,6120.0,51.0,0.0,0.0,5.0,7.0,952.0,,1931.0,1950.0
961.0,406.0,4.0,No,241.0,Rec,229.0,,384.0,Unf,1978.0,1367.0,TA,8405.0,50.0,0.0,130.0,8.0,5.0,861.0,,1900.0,1950.0
803.0,557.0,2.0,No,0.0,Unf,803.0,,297.0,,1951.0,1360.0,Gd,7200.0,60.0,0.0,65.0,6.0,5.0,803.0,,1938.0,1995.0
848.0,0.0,1.0,Av,697.0,GLQ,151.0,,420.0,RFn,2004.0,848.0,Gd,4426.0,,147.0,0.0,5.0,6.0,848.0,,2004.0,2004.0
1482.0,780.0,,Gd,871.0,GLQ,611.0,,749.0,Fin,2003.0,2262.0,Gd,12244.0,85.0,226.0,0.0,5.0,8.0,1482.0,,2003.0,2003.0
1220.0,0.0,2.0,No,836.0,LwQ,0.0,,396.0,Unf,1951.0,1220.0,TA,8877.0,67.0,0.0,0.0,5.0,4.0,836.0,,1951.0,1951.0
1414.0,0.0,2.0,No,0.0,Unf,1375.0,,398.0,Fin,2004.0,1414.0,Gd,3072.0,,18.0,20.0,5.0,7.0,1375.0,,2004.0,2004.0
1134.0,924.0,3.0,No,319.0,Rec,416.0,,396.0,Unf,1950.0,2058.0,TA,9600.0,60.0,0.0,0.0,5.0,6.0,735.0,,1917.0,1950.0
1088.0,110.0,4.0,No,0.0,,901.0,,0.0,,,1198.0,TA,5586.0,60.0,0.0,98.0,7.0,6.0,901.0,,1920.0,1998.0
1659.0,0.0,2.0,No,1158.0,GLQ,343.0,,499.0,Fin,2000.0,1659.0,Ex,5664.0,40.0,0.0,59.0,5.0,8.0,1501.0,,2000.0,2000.0
1012.0,0.0,2.0,No,0.0,Unf,1012.0,,308.0,Unf,1920.0,1012.0,TA,8263.0,59.0,0.0,22.0,5.0,6.0,1012.0,,1920.0,1950.0
1687.0,998.0,5.0,No,523.0,GLQ,301.0,,672.0,Fin,1970.0,3082.0,TA,15863.0,102.0,0.0,63.0,3.0,7.0,824.0,,1920.0,1970.0
1032.0,,4.0,No,0.0,Unf,360.0,,672.0,Unf,1999.0,1812.0,Gd,7630.0,76.0,0.0,0.0,9.0,5.0,360.0,344.0,1900.0,1996.0
1057.0,872.0,3.0,No,738.0,,319.0,0.0,650.0,Fin,2001.0,1929.0,Gd,7050.0,,0.0,235.0,5.0,7.0,1057.0,,2001.0,2001.0
954.0,0.0,3.0,Av,483.0,ALQ,428.0,0.0,576.0,Unf,1976.0,954.0,TA,10780.0,55.0,0.0,0.0,5.0,5.0,911.0,0.0,1976.0,1976.0
1838.0,0.0,2.0,Av,1260.0,GLQ,578.0,,765.0,,2006.0,1838.0,Ex,14601.0,85.0,584.0,68.0,5.0,9.0,1838.0,,2006.0,2006.0
1640.0,0.0,3.0,No,728.0,BLQ,568.0,,924.0,Unf,1993.0,1640.0,Gd,14778.0,,72.0,0.0,7.0,6.0,1296.0,,1954.0,2006.0
1148.0,0.0,3.0,No,1148.0,BLQ,0.0,,672.0,Unf,1959.0,1148.0,TA,7931.0,70.0,0.0,0.0,5.0,5.0,1148.0,,1959.0,1959.0
950.0,0.0,,No,412.0,BLQ,251.0,,280.0,Unf,1981.0,950.0,TA,9758.0,61.0,0.0,0.0,5.0,5.0,950.0,,1971.0,1971.0
1065.0,846.0,3.0,No,380.0,,397.0,0.0,471.0,RFn,1993.0,1911.0,Gd,9554.0,80.0,125.0,81.0,5.0,8.0,777.0,,1993.0,1994.0
915.0,720.0,3.0,No,300.0,Rec,765.0,,440.0,Unf,1950.0,1635.0,TA,8737.0,70.0,0.0,38.0,7.0,6.0,1065.0,0.0,1923.0,1950.0
1316.0,0.0,3.0,Av,0.0,,1316.0,,440.0,Fin,2007.0,1316.0,Gd,11175.0,103.0,0.0,20.0,5.0,7.0,1316.0,,2007.0,2007.0
1442.0,0.0,2.0,No,0.0,Unf,1442.0,,615.0,RFn,1970.0,1442.0,TA,11717.0,,571.0,0.0,6.0,6.0,1442.0,,1970.0,1970.0
1078.0,0.0,3.0,No,734.0,GLQ,344.0,,500.0,Fin,1971.0,1078.0,TA,12537.0,,0.0,0.0,6.0,5.0,1078.0,,1971.0,2008.0
1120.0,0.0,3.0,No,932.0,ALQ,108.0,,544.0,RFn,1961.0,1120.0,Fa,6970.0,85.0,0.0,0.0,5.0,4.0,1040.0,,1961.0,1961.0
779.0,640.0,3.0,No,353.0,GLQ,55.0,,527.0,Fin,2002.0,1419.0,Gd,7750.0,,0.0,0.0,5.0,8.0,408.0,,2002.0,2002.0
707.0,682.0,3.0,No,0.0,Unf,651.0,,240.0,Unf,1947.0,1389.0,TA,3378.0,60.0,0.0,0.0,8.0,7.0,651.0,,1946.0,1992.0
1063.0,0.0,3.0,No,354.0,Rec,412.0,,280.0,RFn,1954.0,1063.0,TA,9920.0,80.0,110.0,0.0,5.0,5.0,1056.0,,1954.0,1954.0
1792.0,0.0,2.0,Gd,1567.0,GLQ,225.0,,874.0,Fin,2003.0,1792.0,Ex,11846.0,72.0,562.0,49.0,5.0,9.0,1792.0,,2003.0,2004.0
1216.0,,2.0,No,897.0,GLQ,319.0,0.0,402.0,Unf,1998.0,1216.0,TA,4500.0,32.0,116.0,125.0,5.0,6.0,1216.0,,1998.0,1998.0
998.0,764.0,4.0,No,0.0,Unf,596.0,,576.0,Unf,1989.0,1762.0,Gd,7200.0,60.0,0.0,0.0,7.0,7.0,596.0,,1920.0,1950.0
847.0,1112.0,4.0,Av,0.0,Unf,847.0,,434.0,Fin,2004.0,1959.0,Gd,11796.0,59.0,0.0,48.0,5.0,7.0,847.0,,2004.0,2005.0
1208.0,,3.0,No,767.0,ALQ,441.0,,546.0,RFn,1977.0,1208.0,TA,11250.0,,0.0,42.0,6.0,6.0,1208.0,,1977.0,1977.0
874.0,650.0,3.0,No,460.0,BLQ,414.0,,315.0,Unf,1958.0,1524.0,TA,11344.0,78.0,180.0,0.0,5.0,5.0,874.0,,1958.0,1958.0
796.0,358.0,3.0,No,735.0,BLQ,61.0,,240.0,Unf,1922.0,1154.0,Gd,5436.0,40.0,0.0,96.0,8.0,4.0,796.0,,1922.0,2007.0
1048.0,0.0,3.0,None,0.0,None,0.0,,420.0,Unf,1950.0,1048.0,TA,7200.0,60.0,0.0,27.0,5.0,5.0,0.0,,1950.0,1950.0
886.0,0.0,2.0,No,0.0,Unf,190.0,,273.0,Unf,1938.0,886.0,TA,5784.0,50.0,0.0,20.0,8.0,5.0,190.0,,1938.0,1996.0
943.0,0.0,2.0,Gd,943.0,GLQ,0.0,,600.0,Unf,1979.0,943.0,TA,7032.0,,0.0,0.0,5.0,5.0,943.0,,1979.0,1979.0
866.0,902.0,3.0,No,400.0,GLQ,466.0,,603.0,RFn,2005.0,1768.0,Gd,9803.0,75.0,0.0,108.0,5.0,7.0,866.0,,2005.0,2005.0
