2ndFlrSF,GarageArea,OverallQual,TotalBsmtSF
0.0,774.0,9.0,1822.0
0.0,308.0,5.0,894.0
0.0,432.0,5.0,876.0
0.0,857.0,8.0,1568.0
0.0,843.0,7.0,1541.0
0.0,400.0,7.0,1221.0
0.0,440.0,6.0,1088.0
720.0,484.0,7.0,696.0
462.0,297.0,4.0,462.0
349.0,440.0,6.0,735.0
896.0,397.0,7.0,746.0
0.0,460.0,6.0,1362.0
788.0,442.0,6.0,756.0
0.0,451.0,6.0,1367.0
,528.0,5.0,924.0
0.0,588.0,5.0,1360.0
728.0,400.0,7.0,728.0
0.0,497.0,7.0,1188.0
0.0,625.0,5.0,0.0
612.0,528.0,6.0,612.0
752.0,468.0,7.0,952.0
406.0,384.0,5.0,861.0
557.0,297.0,5.0,803.0
0.0,420.0,6.0,848.0
780.0,749.0,8.0,1482.0
0.0,396.0,4.0,836.0
0.0,398.0,7.0,1375.0
924.0,396.0,6.0,735.0
110.0,0.0,6.0,901.0
0.0,499.0,8.0,1501.0
0.0,308.0,6.0,1012.0
998.0,672.0,7.0,824.0
,672.0,5.0,360.0
872.0,650.0,7.0,1057.0
0.0,576.0,5.0,911.0
0.0,765.0,9.0,1838.0
0.0,924.0,6.0,1296.0
0.0,672.0,5.0,1148.0
0.0,280.0,5.0,950.0
846.0,471.0,8.0,777.0
720.0,440.0,6.0,1065.0
0.0,440.0,7.0,1316.0
0.0,615.0,6.0,1442.0
0.0,500.0,5.0,1078.0
0.0,544.0,4.0,1040.0
640.0,527.0,8.0,408.0
682.0,240.0,7.0,651.0
0.0,280.0,5.0,1056.0
0.0,874.0,9.0,1792.0
,402.0,6.0,1216.0
764.0,576.0,7.0,596.0
1112.0,434.0,7.0,847.0
,546.0,6.0,1208.0
650.0,315.0,5.0,874.0
358.0,240.0,4.0,796.0
0.0,420.0,5.0,0.0
0.0,273.0,5.0,190.0
0.0,600.0,5.0,943.0
902.0,603.0,7.0,866.0
1177.0,779.0,9.0,1393.0
0.0,275.0,5.0,912.0
0.0,308.0,5.0,0.0
0.0,511.0,6.0,1405.0
0.0,850.0,10.0,2076.0
1203.0,752.0,8.0,1318.0
787.0,240.0,5.0,731.0
0.0,538.0,8.0,1573.0
700.0,389.0,6.0,1444.0
,880.0,10.0,1237.0
728.0,477.0,6.0,585.0
0.0,541.0,7.0,1525.0
0.0,722.0,8.0,1571.0
0.0,0.0,5.0,796.0
994.0,432.0,5.0,994.0
670.0,402.0,7.0,384.0
0.0,364.0,4.0,648.0
1104.0,372.0,5.0,732.0
0.0,484.0,6.0,1040.0
574.0,694.0,9.0,2153.0
455.0,200.0,5.0,676.0
1000.0,400.0,5.0,960.0
0.0,336.0,5.0,1144.0
0.0,576.0,6.0,1056.0
0.0,0.0,4.0,693.0
0.0,576.0,6.0,1479.0
0.0,482.0,8.0,1594.0
0.0,352.0,5.0,864.0
0.0,750.0,8.0,1566.0
660.0,497.0,6.0,723.0
0.0,539.0,4.0,780.0
574.0,180.0,5.0,939.0
408.0,560.0,6.0,884.0
0.0,386.0,5.0,955.0
0.0,210.0,3.0,1007.0
0.0,572.0,5.0,1056.0
797.0,615.0,7.0,756.0
0.0,865.0,7.0,1614.0
0.0,1390.0,8.0,2042.0
0.0,326.0,5.0,1073.0
213.0,240.0,5.0,672.0
0.0,550.0,6.0,1205.0
0.0,0.0,4.0,528.0
0.0,300.0,5.0,1150.0
728.0,400.0,6.0,728.0
0.0,588.0,7.0,944.0
750.0,564.0,6.0,750.0
0.0,375.0,5.0,1165.0
729.0,398.0,6.0,839.0
1054.0,836.0,9.0,1104.0
0.0,573.0,7.0,1560.0
,312.0,5.0,728.0
0.0,286.0,4.0,630.0
0.0,504.0,6.0,1143.0
1101.0,947.0,7.0,1063.0
550.0,384.0,4.0,560.0
1426.0,550.0,8.0,1184.0
932.0,936.0,7.0,1026.0
0.0,898.0,8.0,1468.0
432.0,539.0,5.0,0.0
432.0,240.0,5.0,768.0
438.0,438.0,7.0,1092.0
795.0,440.0,4.0,795.0
0.0,240.0,6.0,1064.0
0.0,624.0,5.0,864.0
0.0,440.0,7.0,1208.0
504.0,264.0,6.0,483.0
1281.0,628.0,7.0,1210.0
600.0,440.0,5.0,765.0
1141.0,779.0,8.0,1128.0
1347.0,840.0,9.0,1249.0
0.0,352.0,4.0,907.0
,440.0,6.0,855.0
0.0,540.0,5.0,1106.0
0.0,684.0,4.0,858.0
0.0,516.0,7.0,2223.0
0.0,672.0,4.0,1005.0
809.0,409.0,7.0,712.0
0.0,384.0,5.0,1040.0
0.0,461.0,5.0,1268.0
887.0,578.0,7.0,874.0
0.0,888.0,6.0,1012.0
0.0,439.0,7.0,1385.0
0.0,480.0,6.0,1436.0
0.0,839.0,8.0,2109.0
0.0,544.0,7.0,1573.0
0.0,820.0,9.0,2330.0
977.0,645.0,7.0,1057.0
0.0,431.0,6.0,1291.0
0.0,0.0,5.0,858.0
560.0,280.0,6.0,560.0
0.0,246.0,2.0,290.0
728.0,440.0,6.0,672.0
0.0,240.0,5.0,920.0
0.0,645.0,6.0,1127.0
0.0,525.0,6.0,547.0
0.0,0.0,5.0,0.0
689.0,441.0,6.0,844.0
1254.0,380.0,8.0,965.0
912.0,0.0,6.0,912.0
868.0,422.0,6.0,872.0
0.0,576.0,5.0,912.0
0.0,600.0,6.0,1461.0
448.0,216.0,6.0,976.0
0.0,397.0,6.0,1316.0
0.0,450.0,5.0,768.0
378.0,240.0,5.0,756.0
0.0,865.0,8.0,1623.0
660.0,400.0,7.0,660.0
966.0,538.0,5.0,1013.0
0.0,525.0,5.0,1120.0
0.0,756.0,5.0,992.0
546.0,0.0,4.0,546.0
978.0,704.0,7.0,718.0
0.0,576.0,5.0,845.0
1039.0,668.0,6.0,894.0
546.0,264.0,6.0,672.0
808.0,534.0,7.0,808.0
870.0,556.0,8.0,1220.0
0.0,487.0,5.0,1484.0
0.0,506.0,5.0,1656.0
406.0,210.0,6.0,818.0
1032.0,390.0,6.0,992.0
0.0,576.0,7.0,832.0
546.0,286.0,4.0,546.0
0.0,252.0,5.0,1268.0
834.0,550.0,7.0,799.0
0.0,502.0,8.0,1657.0
0.0,508.0,6.0,1478.0
0.0,306.0,6.0,932.0
0.0,526.0,7.0,1277.0
0.0,630.0,7.0,1530.0
0.0,484.0,5.0,1024.0
0.0,528.0,5.0,840.0
0.0,626.0,7.0,1314.0
571.0,868.0,7.0,1391.0
702.0,388.0,7.0,788.0
0.0,420.0,6.0,848.0
0.0,240.0,5.0,672.0
1152.0,252.0,7.0,1152.0
704.0,180.0,5.0,660.0
754.0,484.0,7.0,725.0
0.0,740.0,7.0,1226.0
1111.0,444.0,6.0,832.0
0.0,576.0,6.0,1158.0
0.0,480.0,5.0,1154.0
844.0,527.0,7.0,880.0
885.0,431.0,6.0,773.0
0.0,520.0,4.0,0.0
521.0,300.0,5.0,816.0
1479.0,1014.0,8.0,728.0
504.0,264.0,6.0,483.0
547.0,0.0,5.0,644.0
0.0,505.0,7.0,585.0
,440.0,7.0,744.0
0.0,908.0,8.0,1976.0
0.0,758.0,8.0,1563.0
539.0,288.0,7.0,572.0
651.0,270.0,7.0,776.0
0.0,452.0,3.0,0.0
880.0,706.0,9.0,1848.0
672.0,264.0,5.0,630.0
192.0,586.0,7.0,1332.0
468.0,680.0,4.0,0.0
0.0,430.0,5.0,1125.0
600.0,480.0,7.0,600.0
842.0,520.0,6.0,798.0
904.0,525.0,7.0,1223.0
0.0,240.0,6.0,972.0
878.0,466.0,8.0,1128.0
,596.0,5.0,1144.0
0.0,288.0,5.0,1062.0
0.0,484.0,5.0,926.0
838.0,592.0,8.0,1086.0
0.0,240.0,5.0,1164.0
0.0,840.0,5.0,952.0
1215.0,0.0,8.0,684.0
0.0,540.0,6.0,880.0
691.0,672.0,6.0,482.0
0.0,480.0,6.0,1004.0
456.0,305.0,4.0,747.0
0.0,495.0,5.0,915.0
0.0,440.0,5.0,1145.0
0.0,445.0,7.0,1453.0
0.0,670.0,8.0,1581.0
0.0,825.0,8.0,1588.0
0.0,264.0,6.0,588.0
0.0,368.0,5.0,1050.0
0.0,432.0,4.0,960.0
454.0,280.0,5.0,810.0
0.0,462.0,6.0,1489.0
0.0,786.0,7.0,1726.0
720.0,484.0,7.0,1362.0
0.0,484.0,7.0,1309.0
1140.0,1069.0,8.0,1284.0
984.0,660.0,7.0,879.0
0.0,396.0,5.0,768.0
0.0,0.0,1.0,0.0
0.0,384.0,6.0,1136.0
0.0,405.0,6.0,1237.0
0.0,288.0,5.0,912.0
936.0,264.0,5.0,864.0
720.0,240.0,5.0,720.0
526.0,0.0,5.0,658.0
925.0,308.0,7.0,925.0
0.0,624.0,5.0,1063.0
0.0,576.0,6.0,1422.0
0.0,576.0,5.0,1632.0
0.0,451.0,7.0,1630.0
0.0,0.0,3.0,1013.0
0.0,420.0,4.0,0.0
806.0,216.0,6.0,806.0
653.0,576.0,4.0,1122.0
0.0,418.0,6.0,1416.0
1092.0,868.0,8.0,1482.0
764.0,520.0,6.0,764.0
0.0,520.0,6.0,1248.0
0.0,440.0,6.0,958.0
795.0,370.0,6.0,833.0
0.0,490.0,4.0,1281.0
0.0,400.0,6.0,1158.0
,220.0,6.0,735.0
0.0,288.0,5.0,892.0
0.0,240.0,5.0,788.0
0.0,0.0,5.0,1140.0
813.0,483.0,6.0,780.0
912.0,551.0,6.0,848.0
981.0,812.0,10.0,1017.0
0.0,216.0,5.0,691.0
,676.0,8.0,768.0
639.0,325.0,6.0,994.0
776.0,442.0,7.0,994.0
884.0,543.0,7.0,884.0
1796.0,807.0,10.0,1930.0
,403.0,6.0,1298.0
0.0,484.0,7.0,1501.0
0.0,0.0,5.0,630.0
0.0,440.0,6.0,1103.0
319.0,384.0,4.0,859.0
0.0,440.0,4.0,1196.0
,529.0,7.0,1372.0
0.0,296.0,6.0,1099.0
0.0,626.0,7.0,1422.0
874.0,501.0,6.0,1580.0
0.0,440.0,4.0,1121.0
1330.0,852.0,8.0,1143.0
0.0,576.0,5.0,1057.0
0.0,602.0,5.0,1097.0
1106.0,671.0,8.0,1152.0
0.0,746.0,9.0,2002.0
714.0,440.0,6.0,672.0
871.0,1043.0,8.0,1082.0
0.0,462.0,8.0,1337.0
1288.0,648.0,8.0,969.0
0.0,826.0,8.0,1705.0
0.0,484.0,5.0,1024.0
0.0,660.0,7.0,1373.0
0.0,567.0,7.0,1902.0
1216.0,693.0,7.0,1216.0
0.0,528.0,5.0,1086.0
0.0,460.0,6.0,1054.0
1336.0,676.0,8.0,1225.0
0.0,288.0,5.0,876.0
,484.0,7.0,845.0
703.0,299.0,6.0,689.0
0.0,576.0,5.0,1109.0
768.0,240.0,5.0,1208.0
208.0,208.0,6.0,862.0
611.0,502.0,6.0,611.0
1286.0,429.0,7.0,975.0
668.0,250.0,4.0,649.0
0.0,928.0,8.0,1734.0
0.0,312.0,6.0,1194.0
540.0,720.0,5.0,876.0
0.0,354.0,5.0,1383.0
1001.0,871.0,5.0,1001.0
0.0,474.0,8.0,1496.0
620.0,660.0,5.0,984.0
0.0,504.0,5.0,680.0
755.0,476.0,6.0,741.0
0.0,840.0,7.0,1494.0
0.0,180.0,6.0,960.0
0.0,397.0,7.0,1145.0
742.0,0.0,6.0,742.0
0.0,525.0,6.0,819.0
581.0,686.0,5.0,650.0
1370.0,656.0,9.0,1122.0
0.0,528.0,4.0,600.0
989.0,583.0,7.0,1108.0
1538.0,884.0,10.0,3138.0
390.0,624.0,6.0,698.0
0.0,0.0,4.0,720.0
0.0,830.0,8.0,1580.0
0.0,0.0,4.0,1440.0
,540.0,6.0,738.0
0.0,570.0,7.0,1500.0
464.0,216.0,5.0,884.0
0.0,884.0,5.0,864.0
0.0,514.0,6.0,1394.0
832.0,484.0,6.0,800.0
0.0,336.0,5.0,912.0
1254.0,864.0,6.0,1370.0
0.0,349.0,5.0,1140.0
548.0,440.0,5.0,440.0
1178.0,440.0,8.0,853.0
728.0,429.0,6.0,728.0
0.0,660.0,4.0,864.0
739.0,380.0,6.0,970.0
855.0,528.0,8.0,810.0
1274.0,656.0,7.0,1347.0
,595.0,7.0,798.0
685.0,420.0,3.0,978.0
0.0,529.0,4.0,1364.0
0.0,504.0,5.0,1728.0
790.0,462.0,6.0,1055.0
831.0,440.0,6.0,822.0
0.0,776.0,8.0,1489.0
0.0,300.0,6.0,864.0
0.0,276.0,5.0,1256.0
0.0,816.0,5.0,816.0
918.0,492.0,7.0,864.0
1215.0,833.0,7.0,1104.0
0.0,461.0,5.0,1065.0
0.0,312.0,6.0,1200.0
0.0,632.0,7.0,1187.0
1349.0,642.0,8.0,1094.0
,527.0,7.0,1720.0
0.0,0.0,5.0,672.0
0.0,496.0,6.0,1278.0
0.0,450.0,5.0,1090.0
,420.0,8.0,1141.0
0.0,440.0,5.0,969.0
0.0,1248.0,3.0,894.0
,360.0,5.0,1008.0
979.0,492.0,6.0,979.0
0.0,895.0,8.0,1795.0
0.0,606.0,9.0,1930.0
0.0,439.0,5.0,1176.0
672.0,400.0,6.0,672.0
0.0,554.0,7.0,1417.0
0.0,338.0,5.0,864.0
495.0,200.0,5.0,616.0
790.0,420.0,6.0,680.0
0.0,440.0,6.0,1116.0
,288.0,6.0,864.0
0.0,498.0,5.0,1297.0
0.0,264.0,5.0,1113.0
0.0,577.0,7.0,1490.0
783.0,614.0,7.0,756.0
956.0,678.0,7.0,991.0
0.0,908.0,8.0,1709.0
0.0,440.0,6.0,1010.0
886.0,455.0,7.0,1117.0
0.0,388.0,7.0,1266.0
876.0,716.0,9.0,1992.0
1276.0,554.0,7.0,952.0
0.0,494.0,7.0,1414.0
785.0,471.0,6.0,928.0
741.0,434.0,6.0,713.0
430.0,528.0,4.0,698.0
0.0,358.0,6.0,1096.0
0.0,574.0,6.0,1728.0
762.0,711.0,8.0,1629.0
0.0,452.0,5.0,1437.0
530.0,400.0,7.0,1156.0
0.0,400.0,7.0,856.0
0.0,484.0,8.0,1370.0
0.0,480.0,6.0,1680.0
739.0,380.0,7.0,970.0
,264.0,6.0,483.0
901.0,216.0,7.0,793.0
1175.0,360.0,6.0,952.0
0.0,264.0,6.0,1059.0
0.0,533.0,6.0,1604.0
0.0,336.0,6.0,1244.0
0.0,252.0,4.0,700.0
623.0,480.0,7.0,600.0
0.0,612.0,6.0,1686.0
0.0,800.0,8.0,1638.0
0.0,264.0,5.0,864.0
858.0,639.0,7.0,939.0
0.0,462.0,4.0,0.0
873.0,839.0,7.0,992.0
0.0,308.0,5.0,1056.0
1174.0,820.0,9.0,1926.0
0.0,492.0,6.0,506.0
0.0,636.0,8.0,1686.0
709.0,413.0,6.0,802.0
0.0,246.0,5.0,1057.0
1044.0,560.0,4.0,777.0
806.0,786.0,7.0,1204.0
1523.0,594.0,7.0,1673.0
807.0,512.0,7.0,880.0
0.0,457.0,6.0,1372.0
0.0,437.0,7.0,1346.0
,648.0,8.0,1053.0
628.0,462.0,7.0,600.0
0.0,264.0,5.0,999.0
622.0,528.0,4.0,622.0
0.0,490.0,6.0,1127.0
0.0,702.0,9.0,1626.0
1218.0,853.0,8.0,1158.0
551.0,352.0,5.0,540.0
676.0,388.0,6.0,794.0
0.0,532.0,7.0,1541.0
0.0,0.0,4.0,1440.0
0.0,438.0,7.0,868.0
0.0,481.0,8.0,1494.0
,738.0,9.0,1462.0
523.0,186.0,5.0,731.0
1242.0,683.0,8.0,1028.0
850.0,540.0,6.0,816.0
703.0,504.0,7.0,1064.0
,550.0,8.0,1324.0
546.0,330.0,6.0,912.0
0.0,440.0,6.0,1314.0
0.0,529.0,6.0,1575.0
0.0,912.0,9.0,1620.0
